Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Morgan IZYKOWSKI POSITION,Morgan IZYKOWSKI LAP TIME,Morgan IZYKOWSKI ELAPSED TIME
4,13.77,13.77,2,13.53,13.53,1,13.44,13.44,3,13.55,13.55
4,10.30,24.07,2,10.39,23.92,1,10.42,23.86,3,10.51,24.06
3,10.45,34.52,1,10.43,34.35,2,10.49,34.35,4,10.59,34.65
3,10.39,44.91,1,10.32,44.67,2,10.39,44.74,4,10.39,45.04
3,10.43,55.34,1,10.49,55.16,2,10.50,55.24,4,10.40,55.44
3,10.26,1:05.60,1,10.26,1:05.42,2,10.26,1:05.50,4,10.27,1:05.71
3,9.99,1:15.59,1,9.99,1:15.41,2,9.99,1:15.49,4,10.00,1:15.71
3,9.86,1:25.45,1,9.81,1:25.22,2,9.81,1:25.30,4,9.86,1:25.57
3,9.96,1:35.402,1,9.99,1:35.204,2,9.97,1:35.267,4,9.93,1:35.498
