Daniil KRASNOKUTSKII POSITION,Daniil KRASNOKUTSKII LAP TIME,Daniil KRASNOKUTSKII ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,CHOE Un Song POSITION,CHOE Un Song LAP TIME,CHOE Un Song ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
5,13.22,13.22,1,12.85,12.85,2,12.93,,4,13.18,13.18,2,12.93,12.93,6,13.28,13.28
5,17.77,30.99,1,17.49,30.34,2,17.60,,3,17.48,30.66,4,17.96,30.89,6,17.96,31.24
5,14.96,45.95,1,15.16,45.50,3,15.11,,2,14.92,45.58,4,14.97,45.86,6,14.88,46.12
5,13.41,59.36,3,13.59,59.09,1,13.09,,2,13.29,58.87,4,13.39,59.25,6,13.40,59.52
5,12.52,1:11.88,4,12.64,1:11.73,1,12.75,,2,12.73,1:11.60,3,12.40,1:11.65,6,12.53,1:12.05
5,11.46,1:23.34,3,11.44,1:23.17,2,11.66,,4,11.61,1:23.21,1,11.35,1:23.00,6,11.44,1:23.49
4,10.34,1:33.68,3,10.43,1:33.60,2,10.35,,5,10.51,1:33.72,1,10.37,1:33.37,6,10.45,1:33.94
4,9.96,1:43.64,2,9.91,1:43.51,3,10.03,,5,10.05,1:43.77,1,10.00,1:43.37,6,10.01,1:43.95
3,9.47,1:53.11,2,9.50,1:53.01,4,9.71,,5,9.54,1:53.31,1,9.52,1:52.89,6,9.50,1:53.45
3,9.22,2:02.33,2,9.24,2:02.25,4,9.20,,5,9.22,2:02.53,1,9.25,2:02.14,6,9.11,2:02.56
3,9.08,2:11.41,2,9.09,2:11.34,4,9.16,,6,9.41,2:11.94,1,9.11,2:11.25,5,9.18,2:11.74
3,8.77,2:20.18,1,8.74,2:20.08,4,8.83,,6,9.49,2:21.43,2,8.86,2:20.11,5,8.74,2:20.48
2,8.90,2:29.08,1,8.88,2:28.96,5,8.99,,6,10.07,2:31.50,3,9.08,2:29.19,4,8.72,2:29.20
2,8.99,2:38.07,1,9.00,2:37.96,5,9.03,,5,10.53,2:42.031,4,9.16,2:38.354,3,8.94,2:38.14
