KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,NEMIRO Vladyslav POSITION,NEMIRO Vladyslav LAP TIME,NEMIRO Vladyslav ELAPSED TIME
1,6.79,6.79,3,7.13,7.13,2,6.93,6.93,4,7.22,7.22,5,7.70,7.70
1,9.07,15.86,3,8.91,16.04,2,9.01,15.94,4,8.96,16.18,5,9.19,16.89
1,8.51,24.37,3,8.49,24.53,2,8.50,24.44,4,8.47,24.65,5,8.86,25.75
1,8.80,33.17,3,8.77,33.30,2,8.80,33.24,4,8.71,33.36,5,9.04,34.79
2,9.30,42.478,4,9.65,42.950,1,9.00,42.24,3,9.23,42.599,5,9.29,44.086
