Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Alexis YANG POSITION,Alexis YANG LAP TIME,Alexis YANG ELAPSED TIME
2,7.03,7.03,5,7.45,7.45,1,6.87,6.87,3,7.14,7.14,4,7.20,7.20
2,9.03,16.06,5,9.20,16.65,1,9.07,15.94,3,9.02,16.16,4,9.05,16.25
1,8.57,24.63,5,8.70,25.35,2,8.75,24.69,3,8.56,24.72,4,8.54,24.79
1,8.73,33.36,5,8.88,34.23,4,8.98,33.67,2,8.73,33.45,3,8.79,33.58
2,8.96,42.319,5,9.34,43.570,4,9.12,42.790,1,8.83,42.278,3,8.79,42.369
