SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Pavel RYBAKOV POSITION,Pavel RYBAKOV LAP TIME,Pavel RYBAKOV ELAPSED TIME,Matthias STELZMUELLER POSITION,Matthias STELZMUELLER LAP TIME,Matthias STELZMUELLER ELAPSED TIME
3,16.56,16.56,2,16.40,16.40,1,16.27,16.27
3,13.88,30.44,2,13.92,30.32,1,13.92,30.19
3,13.70,44.14,2,13.72,44.04,1,13.73,43.92
1,12.68,56.82,2,12.79,56.83,3,13.01,56.93
1,10.41,1:07.23,2,10.53,1:07.36,3,10.59,1:07.52
1,9.46,1:16.69,2,9.44,1:16.80,3,9.42,1:16.94
1,9.03,1:25.72,2,9.05,1:25.85,3,9.13,1:26.07
1,8.93,1:34.65,2,8.88,1:34.73,3,9.30,1:35.37
1,9.18,1:43.828,2,9.23,1:43.959,3,9.68,1:45.047
