BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,13.69,13.69,4,13.98,13.98,3,13.82,13.82,1,13.63,13.63
3,10.96,24.65,4,10.80,24.78,1,10.64,24.46,2,10.92,24.55
4,10.49,35.14,1,10.05,34.83,3,10.58,35.04,2,10.39,34.94
4,9.59,44.73,1,9.58,44.41,3,9.57,44.61,2,9.58,44.52
4,9.30,54.03,1,9.32,53.73,3,9.33,53.94,2,9.30,53.82
4,9.01,1:03.04,1,8.97,1:02.70,3,8.99,1:02.93,2,9.00,1:02.82
4,9.00,1:12.04,1,8.96,1:11.66,3,9.02,1:11.95,2,8.98,1:11.80
3,9.18,1:21.22,1,9.05,1:20.71,4,9.44,1:21.39,2,9.15,1:20.95
3,9.30,1:30.515,1,9.27,1:29.979,4,10.82,1:32.209,2,9.50,1:30.447
