Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME
2,7.118,7.118,3,13.530,13.530,4,15.312,15.312,1,6.992,6.992
2,9.564,16.682,3,13.509,27.039,4,14.449,29.760,1,9.435,16.426
2,9.427,26.109,3,9.762,36.800,4,10.201,39.961,1,9.599,26.025
2,9.548,35.656,3,9.823,46.623,4,10.430,50.391,1,9.538,35.563
1,9.35,44.999,3,10.39,57.008,4,10.88,1:01.262,2,9.49,45.047
