KIM Gilli POSITION,KIM Gilli LAP TIME,KIM Gilli ELAPSED TIME,Yuliia BERESNEVA POSITION,Yuliia BERESNEVA LAP TIME,Yuliia BERESNEVA ELAPSED TIME,BOUDRIAS Megan POSITION,BOUDRIAS Megan LAP TIME,BOUDRIAS Megan ELAPSED TIME,SCHEPERS Nienke POSITION,SCHEPERS Nienke LAP TIME,SCHEPERS Nienke ELAPSED TIME
4,14.07,14.07,2,13.77,13.77,1,13.67,13.67,3,13.91,13.91
3,10.34,24.41,2,10.49,24.26,1,10.49,24.16,4,10.63,24.54
3,10.33,34.74,1,10.23,34.49,2,10.36,34.52,4,10.36,34.90
3,9.85,44.59,1,9.98,44.47,2,10.05,44.57,4,9.92,44.82
1,9.33,53.92,2,9.80,54.27,3,9.80,54.37,4,9.88,54.70
1,9.60,1:03.52,2,9.43,1:03.70,3,9.51,1:03.88,4,10.24,1:04.94
1,9.43,1:12.95,2,9.46,1:13.16,3,9.55,1:13.43,4,10.63,1:15.57
1,9.54,1:22.49,2,9.60,1:22.76,3,10.01,1:23.44,4,11.09,1:26.66
1,9.81,1:32.30,2,9.92,1:32.68,3,10.52,1:33.96,4,11.26,1:37.929
