LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME
3,9.150,9.150,7,9.660,9.660,6,9.580,9.580,2,9.110,9.110,5,9.430,9.430,4,9.270,9.270,1,9.020,9.020
3,11.720,20.870,7,11.680,21.350,6,11.640,21.230,2,11.590,20.700,5,11.550,20.980,4,11.590,20.870,1,11.670,20.690
3,11.810,32.680,7,11.630,32.980,6,11.620,32.850,2,11.930,32.640,4,11.780,32.760,5,11.970,32.840,1,11.910,32.610
2,10.210,42.900,1,9.680,42.670,4,10.300,43.160,7,10.610,43.250,5,10.400,43.160,3,10.160,43.000,6,10.570,43.180
3,9.550,52.450,4,10.090,52.770,6,9.710,52.870,1,8.960,52.210,7,9.800,52.960,2,9.260,52.270,5,9.630,52.820
1,9.500,1:01.960,5,9.690,1:02.470,6,9.630,1:02.510,2,9.890,1:02.100,7,9.740,1:02.710,3,9.890,1:02.160,4,9.440,1:02.270
3,10.470,1:12.430,5,10.130,1:12.600,6,10.370,1:12.880,1,10.080,1:12.190,7,10.210,1:12.920,2,10.160,1:12.330,4,10.160,1:12.440
5,10.100,1:22.530,3,9.800,1:22.410,7,9.920,1:22.800,2,10.170,1:22.360,6,9.780,1:22.700,1,9.940,1:22.270,4,10.040,1:22.490
6,9.320,1:31.850,5,9.380,1:31.800,3,8.970,1:31.780,2,9.350,1:31.720,7,9.540,1:32.250,1,9.350,1:31.630,4,9.300,1:31.790
1,9.040,1:40.900,7,9.900,1:41.700,6,9.670,1:41.460,2,9.310,1:41.030,5,9.000,1:41.250,3,9.450,1:41.080,4,9.300,1:41.100
1,9.540,1:50.450,5,9.520,1:51.230,6,9.900,1:51.360,3,10.050,1:51.090,4,9.880,1:51.140,2,9.490,1:50.580,7,18.080,1:59.180
2,9.580,2:00.030,4,9.370,2:00.610,6,9.550,2:00.920,1,8.880,1:59.970,5,9.620,2:00.770,3,9.550,2:00.140,7,17.400,2:16.580
1,9.180,2:09.220,4,9.080,2:09.700,5,9.420,2:10.340,2,9.410,2:09.390,6,10.100,2:10.880,3,9.250,2:09.390,7,12.210,2:28.790
1,9.200,2:18.430,3,9.210,2:18.910,6,11.160,2:21.510,2,9.450,2:18.840,5,10.080,2:20.960,4,9.950,2:19.340,7,11.300,2:40.100
