Yulia SHISHKINA POSITION,Yulia SHISHKINA LAP TIME,Yulia SHISHKINA ELAPSED TIME,HAN Soo Lim POSITION,HAN Soo Lim LAP TIME,HAN Soo Lim ELAPSED TIME,WATANABE Aoi POSITION,WATANABE Aoi LAP TIME,WATANABE Aoi ELAPSED TIME,SEO Whi Min POSITION,SEO Whi Min LAP TIME,SEO Whi Min ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME
1,13.75,13.75,2,13.85,13.85,4,14.13,14.13,3,14.02,14.02,5,14.26,14.26
2,10.61,24.36,1,10.48,24.33,4,10.50,24.63,3,10.52,24.54,5,10.50,24.76
2,9.89,34.25,1,9.82,34.15,4,9.77,34.40,3,9.74,34.28,5,9.78,34.54
3,9.63,43.88,2,9.65,43.80,4,9.59,43.99,1,9.35,43.63,5,9.55,44.09
3,9.45,53.33,2,9.42,53.22,4,9.44,53.43,1,9.51,53.14,5,9.50,53.59
3,9.46,1:02.79,2,9.47,1:02.69,4,9.43,1:02.86,1,9.46,1:02.60,5,9.49,1:03.08
3,9.50,1:12.29,2,9.47,1:12.16,4,9.56,1:12.42,1,9.44,1:12.04,5,9.53,1:12.61
3,9.40,1:21.69,2,9.44,1:21.60,4,9.38,1:21.80,1,9.47,1:21.51,5,9.58,1:22.19
3,9.48,1:31.17,2,9.46,1:31.06,4,9.47,1:31.256,1,9.47,1:30.98,5,9.69,1:31.856
