Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,Lucia Ana ILIJIC POSITION,Lucia Ana ILIJIC LAP TIME,Lucia Ana ILIJIC ELAPSED TIME,Ekaterina STRELKOVA POSITION,Ekaterina STRELKOVA LAP TIME,Ekaterina STRELKOVA ELAPSED TIME,Samra SELIMBEGOVIC POSITION,Samra SELIMBEGOVIC LAP TIME,Samra SELIMBEGOVIC ELAPSED TIME
4,17.74,17.74,3,17.56,17.56,2,17.44,17.44,1,17.31,17.31
4,13.51,31.25,3,13.52,31.08,2,13.53,30.97,1,13.52,30.83
4,12.76,44.01,3,12.79,43.87,2,12.77,43.74,1,12.77,43.60
2,11.47,55.48,4,11.84,55.71,3,11.74,55.48,1,11.79,55.39
1,9.88,1:05.36,4,10.53,1:06.24,2,10.20,1:05.68,3,10.68,1:06.07
1,10.10,1:15.46,4,10.55,1:16.79,2,10.00,1:15.68,3,10.54,1:16.61
1,10.11,1:25.57,4,10.82,1:27.61,2,9.97,1:25.65,3,10.91,1:27.52
2,10.29,1:35.86,3,11.15,1:38.76,1,10.09,1:35.74,4,11.53,1:39.05
2,10.13,1:45.987,3,11.21,1:49.970,1,10.12,1:45.856,4,12.15,1:51.191
