Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME
2,12.57,12.57,3,12.85,12.85,1,12.46,12.46,4,12.92,12.92
1,9.67,22.25,4,10.14,22.99,2,10.04,22.51,3,9.88,22.80
2,10.22,32.47,3,9.71,32.70,1,9.92,32.44,4,10.08,32.89
2,9.72,42.20,4,10.11,42.81,1,9.70,42.14,3,9.55,42.45
1,9.42,51.62,4,9.31,52.13,2,9.59,51.73,3,9.63,52.08
1,9.48,1:01.10,3,9.30,1:01.43,2,9.52,1:01.25,4,9.49,1:01.57
1,9.73,1:10.84,3,9.69,1:11.12,2,9.61,1:10.86,4,9.72,1:11.30
3,10.07,1:20.91,1,9.57,1:20.69,2,9.96,1:20.83,4,9.97,1:21.27
3,10.25,1:31.160,1,10.14,1:30.821,2,10.14,1:30.962,4,10.15,1:31.417
