Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Benoit ANTERIEUX POSITION,Benoit ANTERIEUX LAP TIME,Benoit ANTERIEUX ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,14.150,14.150,3,14.290,14.290,2,14.260,14.260,4,14.530,14.530
3,11.050,25.210,2,10.850,25.140,1,10.760,25.020,4,10.790,25.330
4,10.800,36.010,2,10.800,35.950,1,10.760,35.780,3,10.650,35.990
3,10.870,46.880,2,10.710,46.660,1,10.800,46.590,4,10.890,46.880
3,10.300,57.180,2,10.490,57.160,1,10.370,56.960,4,10.430,57.310
3,9.940,1:07.120,2,9.870,1:07.030,1,9.900,1:06.860,4,9.920,1:07.230
3,9.630,1:16.760,2,9.600,1:16.640,1,9.610,1:16.480,4,9.620,1:16.860
2,9.600,1:26.360,3,9.730,1:26.370,1,9.560,1:26.040,4,9.630,1:26.500
3,10.330,1:36.690,4,10.330,1:36.710,1,9.640,1:35.680,2,9.660,1:36.160
