WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME
4,14.63,14.63,2,14.39,14.39,5,14.82,,1,14.32,14.32,3,14.50,14.50
3,10.26,24.89,2,10.48,24.87,5,10.24,,1,10.51,24.83,4,10.52,25.02
1,9.49,34.38,4,9.86,34.73,5,9.70,,2,9.70,34.53,3,9.62,34.64
1,9.80,44.18,5,9.90,44.63,4,9.77,,2,9.78,44.31,3,9.80,44.44
1,9.83,54.01,5,9.73,54.36,4,9.80,,2,9.82,54.13,3,9.74,54.18
2,9.65,1:03.66,4,9.41,1:03.77,5,9.45,,3,9.62,1:03.75,1,9.16,1:03.34
3,9.65,1:13.31,2,9.27,1:13.04,5,9.80,,4,9.63,1:13.38,1,8.95,1:12.29
3,9.94,1:23.25,2,9.43,1:22.47,5,9.77,,4,9.96,1:23.34,1,9.14,1:21.43
3,10.43,1:33.68,2,9.86,1:32.33,4,37.55,,5,37.80,2:01.14,1,9.30,1:30.73
