Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME
1,17.68,17.68,2,17.76,17.76,3,17.89,17.89
1,13.21,30.89,2,13.29,31.05,3,13.33,31.23
1,11.83,42.72,2,11.83,42.88,3,11.85,43.08
1,11.25,53.98,2,11.13,54.02,3,11.11,54.20
2,10.25,1:04.23,1,10.07,1:04.09,3,10.08,1:04.29
2,9.88,1:14.12,1,9.78,1:13.88,3,9.92,1:14.21
3,9.90,1:24.02,1,9.80,1:23.68,2,9.81,1:24.02
3,9.87,1:33.89,1,9.74,1:33.43,2,9.84,1:33.87
3,10.02,1:43.908,1,10.22,1:43.648,2,10.02,1:43.890
