YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,Iong A KIM POSITION,Iong A KIM LAP TIME,Iong A KIM ELAPSED TIME,LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME
3,14.25,14.25,1,14.08,14.08,1,14.08,14.08,4,14.36,14.36
4,10.94,25.19,1,10.76,24.84,2,10.92,25.00,3,10.77,25.13
4,10.60,35.79,1,10.53,35.37,2,10.50,35.50,3,10.50,35.63
4,10.13,45.92,1,10.15,45.52,2,10.13,45.63,3,10.11,45.74
4,9.83,55.75,1,9.82,55.34,2,9.81,55.44,3,9.93,55.67
3,9.78,1:05.53,1,9.76,1:05.10,2,9.76,1:05.20,4,10.21,1:05.88
3,9.93,1:15.46,1,9.76,1:14.86,2,9.75,1:14.95,4,10.87,1:16.75
3,10.28,1:25.74,1,9.93,1:24.79,2,9.93,1:24.88,4,11.33,1:28.08
3,10.39,1:36.118,2,10.11,1:34.90,1,9.79,1:34.67,4,11.75,1:39.805
