Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME
1,6.66,6.66,3,7.01,7.01,2,6.91,6.91,4,7.06,7.06
3,9.24,15.90,2,8.88,15.89,1,8.97,15.88,4,8.87,15.94
1,8.58,24.49,4,8.78,24.68,2,8.69,24.58,3,8.74,24.68
2,8.82,33.31,4,8.84,33.53,1,8.72,33.30,3,8.70,33.39
1,8.93,42.236,4,9.21,42.733,2,9.00,42.295,3,8.95,42.333
