Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
1,14.634,14.634,2,14.639,14.639,4,14.873,14.873,3,14.805,14.805
1,11.094,25.727,2,11.101,25.740,3,10.932,25.805,4,11.260,26.065
1,9.951,35.678,2,10.127,35.867,3,10.203,36.007,4,10.106,36.171
1,10.376,46.055,4,10.638,46.504,2,10.324,46.331,3,10.283,46.454
2,10.489,56.543,4,10.175,56.679,3,10.301,56.632,1,9.929,56.382
3,9.748,1:06.291,2,9.563,1:06.242,4,9.972,1:06.604,1,9.721,1:06.103
3,10.083,1:16.374,2,9.992,1:16.234,4,10.127,1:16.731,1,10.091,1:16.194
3,10.311,1:26.684,1,9.685,1:25.918,4,10.066,1:26.797,2,10.063,1:26.257
4,10.909,1:37.593,1,10.060,1:35.978,3,10.755,1:37.551,2,10.485,1:36.742
