Audrey PHANEUF POSITION,Audrey PHANEUF LAP TIME,Audrey PHANEUF ELAPSED TIME,CHEN Tong POSITION,CHEN Tong LAP TIME,CHEN Tong ELAPSED TIME,JIA Huiling POSITION,JIA Huiling LAP TIME,JIA Huiling ELAPSED TIME,CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME
3,13.68,13.68,2,13.62,13.62,4,13.77,13.77,1,13.51,13.51
3,10.87,24.55,1,10.69,24.31,2,10.68,24.45,4,11.07,24.58
3,10.31,34.86,1,10.46,34.77,2,10.40,34.85,4,10.47,35.05
2,9.57,44.43,3,9.67,44.44,1,9.50,44.35,4,9.56,44.61
2,9.60,54.03,4,9.71,54.15,1,9.55,53.90,3,9.53,54.14
2,9.64,1:03.67,4,9.75,1:03.90,1,9.69,1:03.59,3,9.64,1:03.78
2,9.97,1:13.64,4,9.90,1:13.80,1,9.95,1:13.54,3,9.94,1:13.72
2,9.97,1:23.61,4,10.06,1:23.86,1,9.94,1:23.48,3,10.04,1:23.76
2,10.25,1:33.847,4,10.11,1:33.952,1,10.12,1:33.589,3,10.13,1:33.879
