MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,HIRAI Ami POSITION,HIRAI Ami LAP TIME,HIRAI Ami ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME
2,10.24,10.24,1,10.06,10.06,4,10.54,10.54,3,10.39,10.39,6,11.05,11.05,5,10.74,10.74
2,12.91,23.15,1,12.98,23.04,4,12.89,23.43,3,12.91,23.30,6,12.76,23.81,5,12.84,23.58
2,12.37,35.52,1,12.38,35.42,4,12.29,35.72,3,12.33,35.63,6,12.18,35.99,5,12.28,35.86
3,12.92,48.44,2,12.90,48.32,4,12.83,48.55,1,12.58,48.21,5,12.60,48.59,6,12.78,48.64
4,11.48,59.92,3,11.50,59.82,6,11.47,1:00.02,2,11.53,59.74,1,11.02,59.61,5,11.36,1:00.00
5,10.35,1:10.27,3,10.25,1:10.07,6,10.37,1:10.39,4,10.44,1:10.18,2,10.36,1:09.97,1,9.94,1:09.94
5,10.19,1:20.46,3,10.14,1:20.21,6,10.17,1:20.56,4,10.18,1:20.36,2,10.23,1:20.20,1,10.15,1:20.09
3,9.98,1:30.44,4,10.30,1:30.51,6,10.24,1:30.80,1,10.02,1:30.38,5,10.51,1:30.71,2,10.30,1:30.39
2,9.59,1:40.03,4,9.76,1:40.27,6,9.74,1:40.54,1,9.57,1:39.95,5,9.73,1:40.44,3,9.76,1:40.15
2,9.71,1:49.74,4,9.76,1:50.03,5,9.62,1:50.16,1,9.69,1:49.64,6,9.76,1:50.20,3,9.72,1:49.87
2,9.56,1:59.30,4,9.53,1:59.56,5,9.51,1:59.67,1,9.59,1:59.23,6,9.70,1:59.90,3,9.54,1:59.41
2,9.48,2:08.78,4,9.59,2:09.15,5,9.49,2:09.16,1,9.47,2:08.70,6,9.51,2:09.41,3,9.48,2:08.89
2,9.56,2:18.34,5,10.05,2:19.20,4,9.58,2:18.74,1,9.53,2:18.23,6,9.81,2:19.22,3,9.46,2:18.35
0,10.00,2:28.34,5,10.20,2:29.405,0,9.63,2:28.37,1,9.64,2:27.87,6,10.31,2:29.531,2,9.65,2:28.00
