Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME
3,9.15,9.15,1,9.00,9.00,2,9.07,9.07,4,9.24,9.24,6,9.52,9.52,5,9.37,9.37
1,13.93,23.08,2,14.17,23.17,3,14.15,23.22,4,14.15,23.39,6,14.27,23.79,5,14.21,23.58
2,12.03,35.11,1,11.88,35.05,3,11.97,35.19,5,11.94,35.33,4,11.51,35.30,6,11.90,35.48
1,11.20,46.31,4,11.41,46.46,2,11.19,46.38,3,11.08,46.41,5,11.28,46.58,6,11.25,46.73
6,11.40,57.71,1,10.72,57.18,3,10.95,57.33,2,10.82,57.23,4,10.88,57.46,5,10.84,57.57
6,11.01,1:08.72,1,11.06,1:08.24,3,11.06,1:08.39,2,11.09,1:08.32,4,11.02,1:08.48,5,11.02,1:08.59
5,11.00,1:19.72,1,11.17,1:19.41,3,11.21,1:19.60,2,11.19,1:19.51,4,11.19,1:19.67,6,11.24,1:19.83
5,9.97,1:29.69,2,10.03,1:29.44,3,9.97,1:29.57,4,10.07,1:29.58,1,9.70,1:29.37,6,9.88,1:29.71
3,9.52,1:39.21,2,9.71,1:39.15,4,9.65,1:39.22,6,24.11,1:53.69,1,9.65,1:39.02,5,9.98,1:39.69
5,10.01,1:49.22,3,9.81,1:48.96,4,9.85,1:49.07,6,13.06,2:06.75,1,9.86,1:48.88,2,9.23,1:48.92
5,9.19,1:58.41,3,9.16,1:58.12,4,9.31,1:58.38,6,12.79,2:19.54,2,9.09,1:57.97,1,8.92,1:57.84
4,8.90,2:07.31,3,8.78,2:06.90,5,9.39,2:07.77,6,12.12,2:31.66,1,8.81,2:06.78,2,8.97,2:06.81
3,8.92,2:16.23,2,9.01,2:15.91,5,9.62,2:17.39,6,11.73,2:43.39,1,8.96,2:15.74,4,9.47,2:16.28
0,,PEN,2,8.88,2:24.789,0,,PEN,4,11.65,2:55.033,1,9.00,2:24.735,3,10.40,2:26.679
