Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME
1,13.38,13.38,4,13.98,13.98,3,13.83,13.83,2,13.58,13.58
1,9.76,23.14,4,9.59,23.57,3,9.65,23.48,2,9.67,23.25
1,9.56,32.70,4,9.45,33.02,3,9.44,32.92,2,9.54,32.79
1,9.56,42.26,4,9.54,42.56,3,9.56,42.48,2,9.54,42.33
1,9.75,52.01,4,9.73,52.29,3,9.69,52.17,2,9.75,52.08
1,9.76,1:01.77,4,9.74,1:02.03,3,9.76,1:01.93,2,9.75,1:01.83
4,10.01,1:11.78,2,9.62,1:11.65,1,9.70,1:11.63,3,9.83,1:11.66
4,9.81,1:21.59,2,9.35,1:21.00,1,9.25,1:20.88,3,9.76,1:21.42
4,9.66,1:31.242,2,9.20,1:30.199,1,9.09,1:29.965,3,9.52,1:30.935
