JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME
3,12.81,12.81,1,12.50,12.50,2,12.76,12.76,4,13.14,13.14
2,10.12,22.93,1,10.07,22.57,3,10.18,22.94,4,10.01,23.15
2,10.00,32.94,1,10.08,32.66,3,10.02,32.97,4,9.89,33.05
1,9.50,42.44,2,9.94,42.60,3,9.85,42.82,4,9.80,42.86
1,9.32,51.77,2,9.38,51.98,3,9.24,52.06,4,9.49,52.36
2,9.52,1:01.29,1,9.21,1:01.20,3,9.53,1:01.60,4,9.33,1:01.69
2,9.56,1:10.85,1,9.52,1:10.72,3,9.46,1:11.06,4,9.62,1:11.32
2,9.65,1:20.51,1,9.69,1:20.42,3,9.74,1:20.81,4,9.63,1:20.96
1,9.83,1:30.335,2,10.02,1:30.440,3,9.81,1:30.614,4,9.82,1:30.775
