Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,VOLCKAERT Robbe POSITION,VOLCKAERT Robbe LAP TIME,VOLCKAERT Robbe ELAPSED TIME,Adrian RUDY POSITION,Adrian RUDY LAP TIME,Adrian RUDY ELAPSED TIME,SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME
2,7.24,7.24,4,7.58,7.58,3,7.34,7.34,1,6.96,6.96
3,9.63,16.87,4,9.50,17.08,2,9.35,16.69,1,9.03,15.99
4,9.27,26.14,3,8.98,26.06,2,8.98,25.67,1,8.80,24.79
4,9.41,35.55,3,9.23,35.29,2,9.01,34.68,1,8.93,33.72
4,9.44,44.99,3,9.38,44.67,2,9.35,44.03,1,9.21,42.93
