Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
3,7.210,7.210,1,6.770,6.770,2,7.190,7.190,4,7.290,7.290
2,9.500,16.710,1,9.400,16.170,3,9.670,16.860,4,9.690,16.980
2,9.150,25.870,1,9.270,25.450,3,9.030,25.900,4,17.850,34.840
2,9.270,35.150,1,9.530,34.980,3,9.250,35.150,4,13.860,48.700
1,9.340,44.490,4,39.080,1:14.060,2,21.340,56.490,3,11.170,59.870
