Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
1,6.952,6.952,3,7.074,7.074,2,7.053,7.053,4,7.260,7.260
2,9.372,16.323,3,9.308,16.382,1,9.263,16.315,4,9.214,16.473
4,9.228,25.551,2,8.938,25.320,1,8.795,25.109,3,8.955,25.428
4,9.569,35.120,2,9.469,34.788,1,9.096,34.205,3,9.630,35.058
3,9.55,44.667,0,,DQ,1,9.84,44.041,2,9.55,44.603
