Rafal PIORECKI POSITION,Rafal PIORECKI LAP TIME,Rafal PIORECKI ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME,Marco BERTOLDI POSITION,Marco BERTOLDI LAP TIME,Marco BERTOLDI ELAPSED TIME,Arno JASPERS POSITION,Arno JASPERS LAP TIME,Arno JASPERS ELAPSED TIME
1,6.911,6.911,2,6.931,6.931,3,7.107,7.107,4,7.402,7.402
1,9.287,16.198,2,9.273,16.205,3,9.352,16.458,4,9.450,16.852
2,8.965,25.163,1,8.928,25.132,3,8.906,25.365,4,8.940,25.792
2,9.080,34.243,1,8.823,33.955,3,9.111,34.476,4,9.211,35.003
2,9.183,43.427,1,9.441,43.396,3,9.096,43.572,4,8.692,43.695
