MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,DANNEEL Alexandra POSITION,DANNEEL Alexandra LAP TIME,DANNEEL Alexandra ELAPSED TIME,AMIRGALIYEVA Aliya POSITION,AMIRGALIYEVA Aliya LAP TIME,AMIRGALIYEVA Aliya ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,DAUDET Gwendoline POSITION,DAUDET Gwendoline LAP TIME,DAUDET Gwendoline ELAPSED TIME
2,13.72,13.72,4,13.91,13.91,3,13.84,13.84,1,13.63,13.63,4,13.91,13.91
2,11.03,24.75,5,11.17,25.08,3,11.05,24.89,1,10.99,24.62,4,11.05,24.96
2,10.51,35.26,5,10.47,35.55,3,10.49,35.38,1,10.53,35.15,4,10.45,35.41
2,10.02,45.28,5,10.14,45.69,3,10.09,45.47,1,10.02,45.17,4,10.15,45.56
2,9.67,54.95,5,9.69,55.38,4,9.81,55.28,1,9.69,54.86,3,9.53,55.09
2,9.45,1:04.40,5,9.78,1:05.16,4,9.78,1:05.06,1,9.45,1:04.31,3,9.58,1:04.67
2,9.41,1:13.81,4,10.12,1:15.28,4,10.22,1:15.28,1,9.43,1:13.74,3,9.77,1:14.44
2,9.47,1:23.28,4,10.09,1:25.37,5,10.77,1:26.05,1,9.49,1:23.23,3,10.15,1:24.59
1,9.56,1:32.844,4,10.38,1:35.759,5,11.28,1:37.335,2,9.62,1:32.850,3,10.64,1:35.239
