BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME
2,12.31,12.31,1,12.04,12.04,3,12.51,12.51,4,12.67,12.67
2,9.24,21.55,1,9.32,21.36,3,9.17,21.68,4,9.16,21.83
2,9.40,30.95,1,9.26,30.62,3,9.39,31.07,4,9.46,31.29
4,9.71,40.66,1,9.18,39.80,2,9.49,40.56,3,9.37,40.66
4,9.58,50.24,1,9.18,48.98,2,9.41,49.97,3,9.55,50.21
4,10.28,1:00.52,1,9.12,58.10,2,9.31,59.28,3,9.18,59.39
4,8.57,1:09.09,1,8.98,1:07.08,2,9.03,1:08.31,3,9.03,1:08.42
4,8.91,1:18.00,1,9.17,1:16.25,2,9.23,1:17.54,3,9.19,1:17.61
4,9.34,1:27.34,1,9.19,1:25.44,3,9.29,1:26.83,2,9.00,1:26.61
4,9.88,1:37.22,1,9.45,1:34.89,3,9.26,1:36.09,2,9.32,1:35.93
4,9.42,1:46.64,1,9.41,1:44.30,3,9.40,1:45.49,2,9.23,1:45.16
4,9.04,1:55.68,1,9.26,1:53.56,3,9.32,1:54.81,2,9.23,1:54.39
4,10.39,2:06.07,1,9.22,2:02.78,3,9.08,2:03.89,2,9.26,2:03.65
4,9.34,2:15.41,1,9.19,2:11.97,3,9.19,2:13.08,2,9.21,2:12.86
4,9.65,2:25.06,1,9.34,2:21.31,3,9.34,2:22.42,2,9.14,2:22.00
4,10.02,2:35.08,1,9.58,2:30.89,3,9.30,2:31.72,2,9.38,2:31.38
4,9.96,2:45.04,1,9.38,2:40.27,3,9.30,2:41.02,2,9.26,2:40.64
4,9.91,2:54.95,1,9.00,2:49.27,3,9.46,2:50.48,2,9.22,2:49.86
4,9.55,3:04.50,1,9.72,2:58.99,3,9.29,2:59.77,2,9.21,2:59.07
4,9.52,3:14.02,1,9.23,3:08.22,3,9.27,3:09.04,2,9.32,3:08.39
4,10.02,3:24.04,1,9.39,3:17.61,3,9.50,3:18.54,2,9.23,3:17.62
4,10.18,3:34.22,2,9.72,3:27.33,3,9.59,3:28.13,1,9.42,3:27.04
4,10.25,3:44.47,2,9.49,3:36.82,3,9.50,3:37.63,1,9.41,3:36.45
4,10.22,3:54.69,2,9.25,3:46.07,3,9.49,3:47.12,1,9.52,3:45.97
4,9.87,4:04.56,2,9.44,3:55.51,3,9.42,3:56.54,1,9.29,3:55.26
4,9.69,4:14.25,1,9.08,4:04.59,3,9.39,4:05.93,2,9.38,4:04.64
4,9.92,4:24.162,1,9.17,4:13.752,3,9.68,4:15.608,2,9.53,4:14.164
