KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Mirai KITA POSITION,Mirai KITA LAP TIME,Mirai KITA ELAPSED TIME,Katherine RALSTON POSITION,Katherine RALSTON LAP TIME,Katherine RALSTON ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
2,9.30,9.30,4,9.57,9.57,1,9.19,9.19,3,9.41,9.41,5,9.68,9.68
2,13.47,22.77,5,13.58,23.15,1,13.45,22.64,4,13.60,23.01,3,13.20,22.88
2,11.67,34.44,5,11.68,34.83,1,11.68,34.32,4,11.72,34.73,3,11.72,34.60
2,10.96,45.40,5,10.88,45.71,1,10.98,45.30,4,10.87,45.60,3,10.90,45.50
2,11.12,56.52,5,11.14,56.85,1,11.11,56.41,3,11.04,56.64,4,11.24,56.74
2,11.72,1:08.24,5,11.76,1:08.61,1,11.72,1:08.13,3,11.72,1:08.36,4,11.75,1:08.49
3,11.63,1:19.87,5,11.56,1:20.17,2,11.64,1:19.77,1,11.14,1:19.50,4,11.56,1:20.05
2,10.00,1:29.87,5,10.11,1:30.28,3,10.18,1:29.95,1,10.26,1:29.76,4,10.00,1:30.05
1,9.57,1:39.44,5,9.93,1:40.21,4,10.01,1:39.96,2,9.87,1:39.63,3,9.68,1:39.73
1,9.75,1:49.19,4,10.00,1:50.21,5,10.41,1:50.37,2,9.65,1:49.28,3,9.68,1:49.41
1,10.05,1:59.24,4,10.22,2:00.43,5,10.91,2:01.28,2,10.06,1:59.34,3,10.05,1:59.46
1,10.09,2:09.33,4,10.46,2:10.89,5,12.07,2:13.35,2,10.11,2:09.45,3,10.09,2:09.55
1,10.01,2:19.34,4,10.75,2:21.64,5,39.84,2:53.19,2,10.12,2:19.57,3,10.15,2:19.70
1,10.43,2:29.761,3,11.05,2:32.683,0,,notime,2,10.57,2:30.138,4,28.27,2:47.962
