KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
3,14.39,14.39,1,14.03,14.03,2,14.13,14.13,4,14.49,14.49
3,10.27,24.66,1,10.38,24.41,2,10.38,24.51,4,10.27,24.76
4,9.85,34.51,1,9.95,34.36,2,9.93,34.44,3,9.72,34.48
3,9.14,43.65,2,9.17,43.53,4,9.34,43.78,1,8.85,43.33
3,9.05,52.70,2,9.09,52.62,4,9.03,52.81,1,9.20,52.53
3,9.44,1:02.14,2,9.44,1:02.06,4,9.46,1:02.27,1,9.40,1:01.93
2,9.20,1:11.34,3,9.49,1:11.55,4,9.37,1:11.64,1,9.30,1:11.23
2,9.18,1:20.52,3,9.12,1:20.67,4,9.18,1:20.82,1,9.18,1:20.41
2,9.28,1:29.798,3,9.27,1:29.934,4,9.57,1:30.390,1,9.33,1:29.739
