HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME
3,13.65,13.65,1,13.48,13.48,2,13.55,13.55
3,10.48,24.13,2,10.41,23.89,1,10.34,23.89
3,9.90,34.03,2,10.05,33.94,1,9.97,33.86
3,10.03,44.06,2,10.05,43.99,1,10.02,43.88
3,10.09,54.15,2,10.07,54.06,1,10.08,53.96
1,9.14,1:03.29,3,9.58,1:03.64,2,9.58,1:03.54
1,9.14,1:12.43,2,9.22,1:12.86,3,9.53,1:13.07
1,8.86,1:21.29,2,9.35,1:22.21,3,9.48,1:22.55
1,8.87,1:30.152,2,9.60,1:31.804,3,9.56,1:32.108
