Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME
1,7.17,7.17,2,7.32,7.32,3,7.44,7.44,4,7.73,7.73,5,7.81,7.81
1,9.38,16.55,2,9.36,16.68,3,9.54,16.98,4,9.70,17.43,5,9.74,17.55
1,9.07,25.62,2,9.08,25.76,3,8.92,25.90,4,9.28,26.71,5,9.21,26.76
3,9.60,35.22,1,9.28,35.04,2,9.15,35.05,4,9.41,36.12,5,9.56,36.32
3,9.55,44.763,1,9.52,44.556,2,9.60,44.643,4,9.70,45.820,5,9.87,46.186
