KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Erika LINDGREN POSITION,Erika LINDGREN LAP TIME,Erika LINDGREN ELAPSED TIME
2,9.81,9.81,5,10.09,10.09,1,9.70,9.70,4,9.93,9.93,6,10.23,10.23,3,9.92,9.92
2,13.57,23.38,5,13.77,23.86,1,13.55,23.25,3,13.58,23.51,6,13.81,24.04,4,13.76,23.68
2,12.22,35.60,5,12.10,35.96,1,12.25,35.50,3,12.19,35.70,6,12.07,36.11,4,12.12,35.80
3,12.20,47.80,4,11.93,47.89,1,12.14,47.64,2,11.99,47.69,6,11.99,48.10,5,12.10,47.90
4,10.64,58.44,1,10.30,58.19,3,10.72,58.36,2,10.56,58.25,6,10.53,58.63,5,10.58,58.48
4,10.55,1:08.99,2,10.68,1:08.87,3,10.53,1:08.89,1,10.59,1:08.84,6,10.62,1:09.25,5,10.67,1:09.15
5,10.20,1:19.19,4,10.24,1:19.11,1,9.97,1:18.86,2,10.11,1:18.95,3,9.82,1:19.07,6,10.78,1:19.93
5,10.18,1:29.37,4,10.19,1:29.30,1,10.03,1:28.89,2,10.04,1:28.99,3,10.03,1:29.10,6,10.28,1:30.21
5,9.96,1:39.33,4,9.90,1:39.20,1,9.98,1:38.87,2,9.99,1:38.98,3,9.98,1:39.08,6,10.82,1:41.03
5,9.78,1:49.11,4,9.82,1:49.02,1,9.81,1:48.68,2,9.83,1:48.81,3,9.81,1:48.89,6,11.46,1:52.49
5,9.82,1:58.93,4,9.80,1:58.82,2,9.87,1:58.55,3,9.92,1:58.73,1,9.65,1:58.54,6,11.78,2:04.27
3,9.78,2:08.71,4,9.94,2:08.76,2,9.88,2:08.43,5,10.23,2:08.96,1,9.74,2:08.28,6,11.90,2:16.17
4,10.45,2:19.16,3,9.59,2:18.35,2,9.83,2:18.26,5,10.58,2:19.54,1,9.88,2:18.16,6,13.41,2:29.58
4,10.69,2:29.849,3,,2:28.250,2,,2:28.240,5,11.26,2:30.785,1,9.95,2:28.101,6,13.17,2:42.725
