Zsolt Istvan PATAKI POSITION,Zsolt Istvan PATAKI LAP TIME,Zsolt Istvan PATAKI ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,DOJKIC Viktor POSITION,DOJKIC Viktor LAP TIME,DOJKIC Viktor ELAPSED TIME,Benjamin KOCH POSITION,Benjamin KOCH LAP TIME,Benjamin KOCH ELAPSED TIME,HOULAHAN Lee POSITION,HOULAHAN Lee LAP TIME,HOULAHAN Lee ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME
1,7.985,7.985,5,8.755,8.755,6,8.811,8.811,2,8.187,8.187,4,8.369,8.369,3,8.358,8.358
2,11.267,19.252,5,10.932,19.686,6,11.557,20.368,1,10.680,18.867,4,11.134,19.502,3,10.954,19.311
2,10.299,29.551,5,10.592,30.278,6,11.052,31.419,1,10.659,29.526,4,10.596,30.098,3,10.716,30.027
1,10.577,40.127,5,10.381,40.658,6,11.219,42.638,2,10.629,40.154,4,10.438,40.536,3,10.350,40.377
1,10.703,50.830,4,10.673,51.331,6,11.388,54.025,5,11.214,51.368,3,10.771,51.307,2,10.662,51.039
1,10.901,1:01.730,3,10.617,1:01.947,6,11.887,1:05.912,4,10.768,1:02.135,5,10.874,1:02.180,2,10.896,1:01.934
1,10.711,1:12.441,2,10.639,1:12.586,6,12.283,1:18.195,4,10.497,1:12.631,5,10.516,1:12.696,3,10.669,1:12.603
4,11.237,1:23.678,1,10.911,1:23.497,6,12.775,1:30.969,5,11.248,1:23.879,3,10.943,1:23.639,2,10.961,1:23.563
2,10.834,1:34.511,1,10.986,1:34.482,6,12.777,1:43.745,5,10.745,1:34.623,4,10.882,1:34.520,3,10.956,1:34.519
3,10.919,1:45.430,1,10.808,1:45.289,6,13.549,1:57.294,5,11.096,1:45.719,4,11.030,1:45.550,2,10.840,1:45.359
3,10.544,1:55.973,2,10.651,1:55.940,6,12.590,2:09.884,5,10.327,1:56.046,4,10.473,1:56.022,1,10.525,1:55.883
3,10.094,2:06.066,1,9.389,2:05.329,6,12.882,2:22.766,5,10.169,2:06.214,4,10.123,2:06.144,2,9.752,2:05.634
3,10.084,2:16.150,1,9.567,2:14.896,6,13.421,2:36.186,5,10.313,2:16.527,4,10.172,2:16.316,2,9.910,2:15.543
3,10.65,2:26.800,1,10.13,2:25.017,6,13.53,2:49.710,5,10.76,2:27.280,4,10.57,2:26.884,2,10.50,2:26.039
