LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
3,13.64,13.64,2,13.56,13.56,1,13.47,13.47,4,13.66,13.66
3,10.39,24.04,2,10.39,23.95,1,10.46,23.93,4,10.41,24.08
3,9.94,33.99,2,9.93,33.88,1,9.87,33.81,4,9.92,34.01
3,9.49,43.49,2,9.52,43.41,1,9.59,43.40,4,9.61,43.62
4,9.40,52.89,3,9.45,52.87,2,9.29,52.69,1,9.06,52.68
2,8.81,1:01.71,3,8.86,1:01.73,1,8.92,1:01.62,4,9.28,1:01.96
1,8.97,1:10.68,3,9.04,1:10.77,2,9.09,1:10.71,4,8.99,1:10.96
4,30.92,1:41.60,3,28.84,1:39.62,1,9.03,1:19.74,2,9.57,1:20.53
0,,DQ,3,16.93,1:56.548,1,9.96,1:29.692,2,12.88,1:33.407
