RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,KAZAKHSTAN POSITION,KAZAKHSTAN LAP TIME,KAZAKHSTAN ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME
1,12.24,12.24,2,12.37,12.37,3,12.77,12.77,4,12.87,12.87
1,9.16,21.40,2,9.13,21.50,3,8.99,21.76,4,8.99,21.86
1,8.98,30.38,2,8.99,30.49,3,8.92,30.68,4,8.93,30.79
1,8.76,39.14,2,8.76,39.25,3,8.79,39.47,4,8.77,39.56
1,8.81,47.95,2,8.80,48.05,4,8.83,48.30,3,8.63,48.19
1,8.69,56.64,2,8.64,56.69,4,8.58,56.88,3,8.64,56.83
2,8.53,1:05.17,1,8.40,1:05.09,3,8.36,1:05.24,4,8.57,1:05.40
2,8.52,1:13.69,1,8.51,1:13.60,3,8.58,1:13.82,4,8.51,1:13.91
2,8.50,1:22.19,1,8.50,1:22.10,3,8.47,1:22.29,4,8.47,1:22.38
1,8.26,1:30.45,2,8.45,1:30.55,3,8.38,1:30.67,4,8.42,1:30.80
1,8.75,1:39.20,2,8.80,1:39.35,3,8.77,1:39.44,4,8.74,1:39.54
1,8.99,1:48.19,3,9.04,1:48.39,2,8.78,1:48.22,4,8.91,1:48.45
1,8.90,1:57.09,3,9.01,1:57.40,2,9.09,1:57.31,4,9.10,1:57.55
1,8.88,2:05.97,3,8.89,2:06.29,2,8.91,2:06.22,4,8.81,2:06.36
1,8.49,2:14.46,3,8.62,2:14.91,2,8.35,2:14.57,4,8.64,2:15.00
2,8.26,2:22.72,3,8.80,2:23.71,1,8.12,2:22.69,4,8.87,2:23.87
2,8.45,2:31.17,3,8.46,2:32.17,1,8.40,2:31.09,4,8.37,2:32.24
2,8.28,2:39.45,3,8.35,2:40.52,1,8.27,2:39.36,4,8.98,2:41.22
