Hazim SHAHRUM POSITION,Hazim SHAHRUM LAP TIME,Hazim SHAHRUM ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
4,7.53,7.53,5,7.57,7.57,2,7.14,7.14,1,6.91,6.91,3,7.37,7.37
5,9.97,17.50,4,8.91,16.48,3,9.30,16.44,1,8.97,15.88,2,8.84,16.21
5,9.70,27.20,3,8.57,25.05,4,8.96,25.40,1,8.70,24.58,2,8.46,24.67
5,9.84,37.04,3,8.74,33.79,4,9.10,34.50,2,8.76,33.34,1,8.58,33.25
5,9.96,47.00,3,9.02,42.81,4,9.34,43.84,2,8.86,42.20,1,8.92,42.17
