Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME
2,6.87,6.87,1,6.71,6.71,3,6.97,6.97,4,7.15,7.15
2,9.04,15.91,1,8.96,15.67,3,9.07,16.04,4,9.16,16.31
2,8.44,24.35,1,8.65,24.32,3,8.43,24.47,4,8.90,25.21
1,8.47,32.82,2,8.79,33.11,3,8.75,33.22,4,9.03,34.24
1,8.74,41.551,3,9.12,42.222,2,8.79,42.002,4,9.43,43.661
