Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,SHUN Fan Yang POSITION,SHUN Fan Yang LAP TIME,SHUN Fan Yang ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME
1,9.30,9.30,4,9.77,9.77,3,9.58,9.58,2,9.42,9.42,5,9.94,9.94,6,10.12,10.12
1,14.05,23.35,4,13.96,23.73,3,14.05,23.63,2,14.07,23.49,5,13.94,23.88,6,13.92,24.04
1,13.74,37.09,4,13.75,37.48,3,13.68,37.31,2,13.69,37.18,5,13.75,37.63,6,13.71,37.75
1,13.10,50.19,4,13.24,50.72,3,13.20,50.51,2,13.15,50.33,5,13.27,50.90,6,13.27,51.02
1,12.53,1:02.72,4,12.42,1:03.14,3,12.49,1:03.00,2,12.43,1:02.76,5,12.40,1:03.30,6,12.37,1:03.39
1,12.55,1:15.27,4,12.51,1:15.65,2,12.35,1:15.35,3,12.62,1:15.38,5,12.50,1:15.80,6,12.55,1:15.94
3,11.34,1:26.61,6,11.35,1:27.00,5,11.44,1:26.79,1,10.96,1:26.34,2,10.65,1:26.45,4,10.73,1:26.67
3,9.80,1:36.41,5,9.75,1:36.75,6,15.72,1:42.51,1,9.87,1:36.21,2,9.88,1:36.33,4,9.82,1:36.49
3,10.05,1:46.46,5,9.98,1:46.73,6,14.65,1:57.16,1,9.98,1:46.19,2,10.02,1:46.35,4,10.21,1:46.70
3,9.58,1:56.04,4,9.51,1:56.24,6,10.42,2:07.58,1,9.74,1:55.93,2,9.67,1:56.02,5,9.72,1:56.42
3,9.49,2:05.53,1,9.17,2:05.41,6,10.20,2:17.78,2,9.48,2:05.41,4,9.56,2:05.58,5,9.45,2:05.87
4,9.49,2:15.02,1,9.20,2:14.61,6,10.54,2:28.32,2,9.27,2:14.68,3,9.27,2:14.85,5,9.51,2:15.38
4,9.22,2:24.24,1,9.19,2:23.80,6,10.76,2:39.08,2,9.16,2:23.84,3,9.12,2:23.97,5,9.65,2:25.03
4,9.48,2:33.717,1,9.09,2:32.882,6,11.08,2:50.158,3,9.24,2:33.081,2,9.11,2:33.081,5,10.00,2:35.027
