Caroline TRUCHON POSITION,Caroline TRUCHON LAP TIME,Caroline TRUCHON ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME
3,7.50,7.50,1,7.25,7.25,2,7.38,7.38,4,7.65,7.65
3,9.55,17.05,1,9.65,16.90,2,9.59,16.97,4,9.56,17.21
3,9.11,26.16,1,9.11,26.01,2,9.08,26.05,4,9.07,26.28
2,9.20,35.36,3,9.50,35.51,1,9.22,35.27,4,9.32,35.60
2,9.25,44.606,3,9.38,44.888,1,9.23,44.491,4,9.39,44.984
