SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME
2,6.838,6.838,1,6.645,6.645,3,7.056,7.056,4,7.297,7.297
2,9.113,15.951,1,8.936,15.581,3,9.152,16.207,4,9.144,16.441
1,8.477,24.428,2,8.949,24.529,4,9.641,25.848,3,8.774,25.214
1,9.042,33.470,2,9.156,33.685,4,9.942,35.789,3,8.952,34.166
1,9.39,42.852,2,9.48,43.162,4,10.40,46.187,3,9.27,43.432
