SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,Marc GONZALES POSITION,Marc GONZALES LAP TIME,Marc GONZALES ELAPSED TIME
3,12.76,12.76,2,12.61,12.61,1,12.59,12.59,4,12.90,12.90,5,13.04,13.04,6,13.21,13.21
3,9.36,22.12,1,9.32,21.93,2,9.42,22.01,4,9.33,22.23,5,9.29,22.33,6,9.28,22.49
3,9.14,31.26,1,9.15,31.08,2,9.16,31.17,3,9.03,31.26,5,9.16,31.49,6,9.17,31.66
4,9.36,40.62,1,9.28,40.36,2,9.28,40.45,2,9.19,40.45,5,9.32,40.81,6,9.23,40.89
4,9.25,49.87,1,9.24,49.60,3,9.31,49.76,1,9.15,49.60,5,9.18,49.99,6,9.35,50.24
4,9.16,59.03,2,9.22,58.82,3,9.14,58.90,1,9.11,58.71,5,9.15,59.14,6,9.50,59.74
4,9.08,1:08.11,2,9.05,1:07.87,3,9.07,1:07.97,1,9.04,1:07.75,5,9.07,1:08.21,6,9.69,1:09.43
4,8.97,1:17.08,2,9.00,1:16.87,3,8.94,1:16.91,1,9.03,1:16.78,5,9.09,1:17.30,6,10.23,1:19.66
4,9.21,1:26.297,2,9.22,1:26.09,0,9.37,1:26.28,1,9.12,1:25.90,5,9.14,1:26.442,6,10.68,1:30.348
