BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,Timur ZAKHAROV POSITION,Timur ZAKHAROV LAP TIME,Timur ZAKHAROV ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME
1,8.81,8.81,4,9.07,9.07,2,8.87,8.87,5,9.14,9.14,3,8.93,,6,9.28,9.28,7,9.48,
2,12.40,21.21,4,12.40,21.47,1,12.20,21.07,5,12.46,21.60,3,12.41,,6,12.47,21.75,7,12.38,
2,11.40,32.61,4,11.23,32.70,1,11.42,32.49,5,11.22,32.82,3,11.35,,7,11.22,32.97,6,10.99,
3,10.57,43.18,4,10.62,43.32,2,10.55,43.04,6,10.83,43.65,5,10.78,,7,10.83,43.80,1,10.05,
4,10.84,54.02,3,10.58,53.90,2,10.74,53.78,6,10.62,54.27,5,10.70,,7,10.63,54.43,1,10.78,
4,10.69,1:04.71,3,10.72,1:04.62,2,10.76,1:04.54,6,10.63,1:04.90,5,10.65,,7,10.60,1:05.03,1,10.74,
3,10.17,1:14.88,4,10.40,1:15.02,2,10.27,1:14.81,6,10.36,1:15.26,5,10.33,,7,10.36,1:15.39,1,10.31,
4,9.82,1:24.70,2,9.57,1:24.59,3,9.80,1:24.61,6,9.60,1:24.86,5,9.65,,7,9.64,1:25.03,1,9.80,
5,9.76,1:34.46,1,9.32,1:33.91,3,9.57,1:34.18,5,9.60,1:34.46,4,9.50,,7,9.64,1:34.67,2,9.55,
7,9.74,1:44.20,1,9.30,1:43.21,3,9.19,1:43.37,5,9.13,1:43.59,4,9.09,,6,9.49,1:44.16,2,9.19,
5,9.71,1:53.91,1,9.34,1:52.55,6,10.56,1:53.93,2,9.03,1:52.62,3,9.46,,4,9.04,1:53.20,7,18.94,
5,9.73,2:03.64,2,9.38,2:01.93,6,10.41,2:04.34,1,9.12,2:01.74,3,9.21,,4,9.25,2:02.45,7,14.77,
5,10.05,2:13.69,2,9.26,2:11.19,6,10.77,2:15.11,1,9.30,2:11.04,3,9.26,,4,9.80,2:12.25,7,13.78,
4,10.31,2:23.974,2,9.36,2:20.55,6,11.26,2:26.37,1,9.35,2:20.39,3,9.33,,4,11.49,2:23.74,7,11.23,2:41.99
