Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Alexander SELEZNOV POSITION,Alexander SELEZNOV LAP TIME,Alexander SELEZNOV ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME
1,6.95,6.95,2,7.06,7.06,4,7.59,7.59,3,7.19,7.19
1,9.29,16.24,2,9.24,16.30,4,9.64,17.23,3,9.20,16.39
3,8.78,25.02,1,8.61,24.91,4,9.02,26.25,2,8.60,24.99
3,9.22,34.24,1,9.05,33.96,4,9.46,35.71,2,9.01,34.00
3,9.15,43.384,1,8.95,42.901,4,9.48,45.184,2,8.93,42.927
