Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
3,12.97,12.97,2,12.90,12.90,4,13.21,13.21,1,12.76,12.76
4,10.64,23.61,3,10.62,23.52,1,10.05,23.26,2,10.60,23.36
4,9.82,33.43,1,9.76,33.28,3,10.13,33.39,2,9.93,33.29
1,8.97,42.40,2,9.34,42.62,4,9.42,42.81,3,9.42,42.71
1,9.12,51.52,2,9.05,51.67,4,9.07,51.88,3,9.03,51.74
1,9.08,1:00.60,2,9.06,1:00.73,4,9.12,1:01.00,3,9.06,1:00.80
2,9.05,1:09.65,1,8.89,1:09.62,4,8.91,1:09.91,3,8.94,1:09.74
2,8.92,1:18.57,1,8.86,1:18.48,4,8.90,1:18.81,3,8.98,1:18.72
2,9.01,1:27.580,1,8.99,1:27.466,4,9.16,1:27.969,3,8.95,1:27.667
