Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
1,8.440,8.440,5,8.900,8.900,6,9.400,9.400,4,8.800,8.800,2,8.550,8.550,3,8.770,8.770
5,13.320,21.760,6,13.000,21.900,4,11.670,21.080,2,11.950,20.760,3,12.310,20.870,1,11.820,20.590
6,10.390,32.150,3,9.640,31.540,5,10.820,31.900,1,10.720,31.490,4,10.820,31.690,2,10.890,31.490
5,10.320,42.480,3,10.730,42.270,6,10.950,42.860,4,10.900,42.390,1,10.360,42.050,2,10.680,42.170
5,10.080,52.570,2,10.160,52.440,6,10.060,52.920,4,10.160,52.560,3,10.410,52.470,1,10.030,52.200
3,9.920,1:02.490,5,10.180,1:02.620,2,9.530,1:02.460,6,10.110,1:02.670,1,9.860,1:02.330,4,10.350,1:02.560
4,9.610,1:12.100,1,9.370,1:12.000,2,9.610,1:12.080,6,9.760,1:12.440,5,9.960,1:12.300,3,9.520,1:12.080
3,9.950,1:22.050,1,9.740,1:21.740,5,10.170,1:22.260,6,9.960,1:22.410,4,9.950,1:22.250,2,9.930,1:22.020
3,9.950,1:32.000,6,10.600,1:32.350,2,9.590,1:31.850,5,9.870,1:32.280,4,9.860,1:32.120,1,9.690,1:31.720
4,9.430,1:41.440,2,8.880,1:41.230,1,9.300,1:41.160,6,9.520,1:41.810,5,9.400,1:41.520,3,9.700,1:41.420
2,9.520,1:50.970,1,9.590,1:50.830,6,10.410,1:51.570,4,9.460,1:51.270,5,9.970,1:51.490,3,9.550,1:50.970
3,9.520,2:00.490,1,9.620,2:00.450,5,9.520,2:01.100,4,9.810,2:01.090,6,10.250,2:01.750,2,9.500,2:00.470
1,9.540,2:10.030,3,9.790,2:10.250,5,10.090,2:11.190,4,9.880,2:10.970,6,11.500,2:13.250,2,9.750,2:10.230
1,10.090,2:20.120,2,9.930,2:20.180,5,11.270,2:22.460,4,10.320,2:21.290,6,13.260,2:26.510,3,10.130,2:20.360
