Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,Geneve BELANGER POSITION,Geneve BELANGER LAP TIME,Geneve BELANGER ELAPSED TIME
4,13.68,13.68,3,13.36,13.36,2,13.30,13.30,1,13.20,13.20,5,13.79,13.79
4,10.04,23.72,3,10.20,23.56,2,10.12,23.42,1,10.20,23.40,5,10.03,23.82
4,9.84,33.56,3,9.84,33.40,1,9.80,33.22,2,9.92,33.32,5,9.84,33.66
4,9.80,43.36,3,9.81,43.21,2,9.91,43.13,1,9.71,43.03,5,9.80,43.46
4,9.60,52.96,3,9.69,52.90,2,9.69,52.82,1,9.69,52.72,5,9.63,53.09
1,9.03,1:01.99,3,9.37,1:02.27,4,9.51,1:02.33,2,9.49,1:02.21,5,9.34,1:02.43
1,9.04,1:11.03,3,9.32,1:11.59,4,9.46,1:11.79,2,9.30,1:11.51,5,9.44,1:11.87
1,9.43,1:20.46,2,9.52,1:21.11,5,9.88,1:21.67,3,9.74,1:21.25,4,9.78,1:21.65
1,9.76,1:30.22,2,9.86,1:30.97,5,10.03,1:31.703,3,9.84,1:31.098,4,9.93,1:31.584
