Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Aliaksandr VOLKAU POSITION,Aliaksandr VOLKAU LAP TIME,Aliaksandr VOLKAU ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME
3,8.87,8.87,7,9.30,9.30,2,8.76,8.76,5,9.12,9.12,1,8.64,8.64,4,9.07,9.07,6,9.23,9.23
3,12.27,21.14,7,12.33,21.63,2,12.23,20.99,6,12.27,21.39,1,12.24,20.88,4,12.20,21.27,4,12.04,21.27
4,11.73,32.87,7,11.70,33.33,2,11.60,32.59,6,11.76,33.15,1,11.61,32.49,5,11.76,33.03,3,11.45,32.72
4,11.17,44.04,7,11.04,44.37,3,11.35,43.94,5,11.00,44.15,1,11.21,43.70,6,11.13,44.16,2,11.13,43.85
3,11.04,55.08,7,11.22,55.59,4,11.21,55.15,5,11.16,55.31,1,11.23,54.93,6,11.30,55.46,2,11.18,55.03
2,10.13,1:05.21,7,10.21,1:05.80,4,10.25,1:05.40,5,10.19,1:05.50,3,10.37,1:05.30,6,10.20,1:05.66,1,10.05,1:05.08
2,10.18,1:15.39,7,10.12,1:15.92,4,10.13,1:15.53,5,10.15,1:15.65,3,10.20,1:15.50,6,10.13,1:15.79,1,10.24,1:15.32
3,9.76,1:25.15,7,9.76,1:25.68,4,9.69,1:25.22,5,9.69,1:25.34,2,9.60,1:25.10,6,9.81,1:25.60,1,9.70,1:25.02
4,9.32,1:34.47,6,9.16,1:34.84,3,9.20,1:34.42,5,9.34,1:34.68,1,8.95,1:34.05,7,9.45,1:35.05,2,9.13,1:34.15
4,9.21,1:43.68,5,9.08,1:43.92,3,9.01,1:43.43,6,9.29,1:43.97,1,9.21,1:43.26,7,9.60,1:44.65,2,9.12,1:43.27
4,9.22,1:52.90,5,9.17,1:53.09,3,9.04,1:52.47,6,9.45,1:53.42,2,9.05,1:52.31,7,10.11,1:54.76,1,8.97,1:52.24
5,9.62,2:02.52,4,9.22,2:02.31,3,9.22,2:01.69,6,9.99,2:03.41,2,9.19,2:01.50,7,10.43,2:05.19,1,9.18,2:01.42
5,10.20,2:12.72,4,9.56,2:11.87,3,9.54,2:11.23,6,10.63,2:14.04,1,9.31,2:10.81,7,10.91,2:16.10,2,9.40,2:10.82
5,10.99,2:23.71,4,10.06,2:21.93,3,10.03,2:21.26,6,11.32,2:25.36,1,9.57,2:20.38,7,22.51,2:38.61,2,9.93,2:20.75
