BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
1,8.59,8.59,3,8.72,8.72,2,8.60,8.60,7,9.52,9.52,4,8.83,8.83,5,8.99,8.99,6,9.23,9.23
2,10.91,19.50,3,10.91,19.63,1,10.75,19.35,6,10.59,20.11,4,10.91,19.74,5,10.87,19.86,7,10.95,20.18
2,10.13,29.63,3,10.18,29.81,1,10.15,29.50,6,9.99,30.10,4,10.13,29.87,5,10.10,29.96,7,10.07,30.25
2,10.12,39.75,3,10.08,39.89,1,10.17,39.67,6,10.05,40.15,4,10.06,39.93,5,10.07,40.03,7,10.08,40.33
2,10.22,49.97,3,10.22,50.11,1,10.20,49.87,6,10.23,50.38,4,10.25,50.18,5,10.23,50.26,7,10.20,50.53
2,10.05,1:00.02,3,10.04,1:00.15,1,10.06,59.93,6,10.08,1:00.46,4,10.05,1:00.23,5,10.08,1:00.34,7,10.11,1:00.64
2,10.06,1:10.08,3,10.03,1:10.18,1,10.06,1:09.99,5,9.90,1:10.36,4,10.04,1:10.27,6,10.03,1:10.37,7,10.05,1:10.69
1,9.92,1:20.00,3,9.98,1:20.16,2,10.04,1:20.03,5,10.02,1:20.38,4,10.02,1:20.29,6,10.12,1:20.49,7,10.04,1:20.73
1,9.68,1:29.68,2,9.62,1:29.78,4,10.04,1:30.07,5,9.77,1:30.15,3,9.72,1:30.01,6,9.74,1:30.23,7,10.20,1:30.93
1,9.53,1:39.21,2,9.55,1:39.33,6,9.84,1:39.91,4,9.40,1:39.55,3,9.45,1:39.46,5,9.51,1:39.74,7,10.43,1:41.36
1,9.56,1:48.77,2,9.54,1:48.87,6,10.13,1:50.04,4,9.53,1:49.08,3,9.53,1:48.99,5,9.42,1:49.16,7,10.70,1:52.06
1,9.60,1:58.37,2,9.51,1:58.38,6,10.20,2:00.24,3,9.36,1:58.44,4,9.55,1:58.54,4,9.38,1:58.54,7,10.94,2:03.00
4,9.71,2:08.08,2,9.30,2:07.68,6,10.73,2:10.97,1,9.23,2:07.67,5,9.72,2:08.26,3,9.27,2:07.81,7,11.17,2:14.17
4,9.78,2:17.867,2,9.31,2:16.99,6,11.25,2:22.223,1,9.11,2:16.78,5,10.12,2:18.382,3,9.29,2:17.104,7,11.15,2:25.320
