Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Soo An YOO POSITION,Soo An YOO LAP TIME,Soo An YOO ELAPSED TIME
3,16.60,16.60,2,16.44,16.44,1,16.36,16.36
3,13.47,30.07,2,13.47,29.91,1,13.48,29.84
2,12.03,42.10,1,12.11,42.02,3,12.34,42.18
3,10.71,52.81,1,10.65,52.67,2,10.58,52.76
3,9.85,1:02.66,1,9.72,1:02.39,2,9.79,1:02.55
3,9.29,1:11.95,1,9.34,1:11.73,2,9.32,1:11.87
3,9.14,1:21.09,1,9.17,1:20.90,2,9.15,1:21.02
3,9.08,1:30.17,1,9.09,1:29.99,2,9.11,1:30.13
3,9.27,1:39.431,1,9.17,1:39.156,2,9.30,1:39.426
