Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME
3,15.13,15.13,1,15.00,15.00,2,15.03,15.03,4,15.30,15.30
3,12.06,27.19,1,12.06,27.06,2,12.09,27.12,4,11.99,27.29
3,11.41,38.60,2,11.45,38.51,1,11.30,38.42,4,11.38,38.67
2,11.57,50.17,3,11.73,50.24,1,11.63,50.05,4,11.59,50.26
2,10.80,1:00.97,1,10.53,1:00.77,3,10.93,1:00.98,4,10.98,1:01.24
2,9.87,1:10.84,1,9.97,1:10.74,3,10.38,1:11.36,4,10.16,1:11.40
2,10.12,1:20.96,1,10.12,1:20.86,3,10.35,1:21.71,4,10.47,1:21.87
2,10.11,1:31.07,1,10.19,1:31.05,4,10.59,1:32.30,3,10.41,1:32.28
0,,PEN,1,10.80,1:41.845,3,11.57,1:43.868,2,10.73,1:43.004
