Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME
3,11.503,11.503,4,11.805,11.805,1,11.248,11.248,2,11.485,11.485
3,10.978,22.481,4,11.209,23.013,2,11.167,22.415,1,10.919,22.403
1,10.406,32.886,4,10.257,33.270,2,10.563,32.978,3,10.677,33.080
1,9.754,42.640,3,9.456,42.725,2,9.708,42.685,4,9.826,42.906
2,9.720,52.359,3,9.905,52.630,1,9.577,52.262,4,9.967,52.873
2,9.901,1:02.260,3,9.859,1:02.488,1,9.667,1:01.929,4,9.680,1:02.552
2,9.787,1:12.046,3,9.709,1:12.197,1,9.924,1:11.853,4,9.923,1:12.475
2,9.585,1:21.631,3,9.802,1:21.998,1,9.630,1:21.482,4,9.900,1:22.374
2,12.69,1:34.319,3,12.50,1:34.496,1,12.76,1:34.238,4,12.73,1:35.098
