Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME
2,13.66,13.66,1,13.53,13.53,3,13.74,13.74,4,13.85,13.85,5,13.98,13.98
4,9.95,23.61,1,9.85,23.38,2,9.72,23.46,3,9.64,23.49,5,9.80,23.78
3,9.38,32.99,1,9.40,32.78,2,9.43,32.89,4,9.61,33.10,5,9.40,33.18
3,9.34,42.33,1,9.29,42.07,2,9.34,42.23,4,9.32,42.42,5,9.37,42.55
3,9.13,51.46,1,9.09,51.16,2,9.02,51.25,4,9.12,51.54,5,9.19,51.74
4,9.17,1:00.63,1,9.01,1:00.17,2,9.04,1:00.29,3,8.96,1:00.50,5,9.26,1:01.00
4,9.41,1:10.04,1,9.04,1:09.21,1,8.92,1:09.21,3,9.09,1:09.59,5,9.56,1:10.56
4,9.78,1:19.82,2,9.25,1:18.46,1,8.92,1:18.13,3,9.22,1:18.81,5,10.03,1:20.59
4,10.09,1:29.91,2,9.43,1:27.89,1,9.37,1:27.50,3,9.55,1:28.36,5,10.55,1:31.14
