KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,ZHANG Hongchao POSITION,ZHANG Hongchao LAP TIME,ZHANG Hongchao ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME
2,7.08,7.08,1,6.93,6.93,4,7.25,7.25,3,7.24,7.24
2,8.93,16.01,1,8.73,15.66,4,9.11,16.36,3,8.88,16.12
2,8.48,24.49,1,8.45,24.11,4,8.34,24.70,3,8.46,24.58
3,8.59,33.08,1,8.55,32.66,4,8.43,33.13,2,8.41,32.99
3,8.66,41.74,1,8.70,41.36,4,9.18,42.31,2,8.70,41.69
