Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Eduardo ALVAREZ POSITION,Eduardo ALVAREZ LAP TIME,Eduardo ALVAREZ ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
4,13.40,13.40,5,13.56,13.56,3,13.33,13.33,1,13.24,13.24,2,13.26,13.26
5,10.66,24.06,3,10.42,23.98,4,10.71,24.04,2,10.66,23.90,1,10.54,23.80
5,10.36,34.42,3,10.34,34.32,1,10.18,34.22,4,10.47,34.37,2,10.43,34.23
4,9.68,44.10,3,9.68,44.00,1,9.61,43.83,5,9.92,44.29,2,9.68,43.91
4,9.79,53.89,2,9.71,53.71,1,9.85,53.68,5,9.72,54.01,3,9.83,53.74
4,9.80,1:03.69,2,9.73,1:03.44,1,9.65,1:03.33,5,9.75,1:03.76,3,9.85,1:03.59
4,9.34,1:13.03,2,9.13,1:12.57,1,9.22,1:12.55,5,9.34,1:13.10,3,9.19,1:12.78
5,9.31,1:22.34,1,8.93,1:21.50,2,9.25,1:21.80,4,8.90,1:22.00,3,9.05,1:21.83
3,9.71,1:32.048,1,9.05,1:30.546,0,,PEN,4,48.62,2:10.616,2,8.79,1:30.613
