LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
2,12.81,12.81,3,13.04,13.04,1,12.80,12.80,4,13.36,13.36
1,10.03,22.84,3,10.19,23.23,2,10.13,22.93,4,10.06,23.42
1,9.74,32.58,3,9.80,33.03,2,9.96,32.89,4,9.99,33.41
1,9.80,42.38,3,9.73,42.76,2,9.87,42.76,4,9.60,43.01
1,9.92,52.30,2,9.80,52.56,3,9.81,52.57,4,9.86,52.87
1,9.77,1:02.07,3,9.75,1:02.31,2,9.64,1:02.21,4,9.68,1:02.55
1,9.47,1:11.54,3,9.72,1:12.03,2,9.37,1:11.58,4,9.81,1:12.36
1,9.48,1:21.02,3,9.66,1:21.69,2,9.50,1:21.08,4,9.83,1:22.19
2,10.11,1:31.122,3,10.01,1:31.699,1,9.81,1:30.882,4,11.22,1:33.406
