Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
3,7.38,7.38,1,7.09,7.09,2,7.16,7.16,4,7.49,7.49
3,9.34,16.72,1,9.16,16.25,2,9.24,16.40,4,9.31,16.80
4,8.83,25.55,1,8.85,25.10,2,8.81,25.21,3,8.69,25.49
4,8.93,34.48,1,8.85,33.95,2,8.92,34.13,3,8.86,34.35
4,9.04,43.520,1,8.88,42.828,2,8.97,43.091,3,8.89,43.233
