LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
2,7.35,7.35,1,7.27,7.27,4,7.74,7.74,3,7.45,7.45
2,9.48,16.83,1,9.49,16.76,4,9.63,17.37,3,9.46,16.91
2,9.20,26.03,1,9.19,25.95,4,9.18,26.55,3,9.15,26.06
2,9.37,35.40,1,9.37,35.32,4,9.23,35.78,3,9.44,35.50
1,9.41,44.807,2,9.73,45.045,4,9.36,45.132,3,9.59,45.085
