AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME
1,6.87,6.87,5,7.62,7.62,2,7.01,7.01,3,7.11,7.11,4,7.23,7.23,6,7.63,7.63
1,8.68,15.55,6,8.93,16.55,2,8.70,15.71,3,8.70,15.81,4,8.73,15.96,5,8.63,16.26
1,8.23,23.78,6,8.31,24.86,2,8.26,23.97,3,8.23,24.04,4,8.17,24.13,5,8.23,24.49
1,8.44,32.22,6,8.62,33.48,3,8.51,32.48,4,8.70,32.74,2,8.27,32.40,5,8.27,32.76
2,8.75,40.948,6,8.90,42.361,4,9.01,41.471,5,8.99,41.715,1,8.53,40.912,3,8.54,41.280
