BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
1,9.65,9.65,2,9.79,9.79,6,10.24,10.24,5,10.08,10.08,4,9.92,,3,9.80,9.80,7,10.47,10.47
2,12.27,21.92,3,12.21,22.00,7,12.13,22.37,5,12.16,22.24,4,12.18,,1,11.94,21.74,6,11.88,22.35
1,11.06,32.98,4,11.14,33.14,7,11.18,33.55,6,11.19,33.43,5,11.17,,2,11.28,33.02,3,10.72,33.07
2,10.34,43.32,4,10.35,43.49,7,10.29,43.84,6,10.32,43.75,5,10.34,,3,10.39,43.41,1,10.24,43.31
3,10.83,54.15,1,10.39,53.88,5,10.64,54.48,4,10.62,54.37,6,15.61,,7,21.47,1:04.88,2,10.70,54.01
3,10.30,1:04.45,1,10.35,1:04.23,5,10.18,1:04.66,4,10.20,1:04.57,6,14.19,,7,14.01,1:18.89,2,10.31,1:04.32
2,10.30,1:14.75,1,10.41,1:14.64,5,10.36,1:15.02,4,10.33,1:14.90,6,11.59,,7,9.93,1:28.82,2,10.43,1:14.75
2,9.70,1:24.45,1,9.70,1:24.34,5,9.72,1:24.74,4,9.75,1:24.65,6,9.66,,7,9.86,1:38.68,3,9.76,1:24.51
2,9.77,1:34.22,1,9.78,1:34.12,5,9.83,1:34.57,4,9.82,1:34.47,6,9.48,,7,10.03,1:48.71,3,9.85,1:34.36
2,9.42,1:43.64,1,9.50,1:43.62,5,9.41,1:43.98,4,9.41,1:43.88,6,9.17,,7,10.13,1:58.84,3,9.40,1:43.76
1,8.94,1:52.58,2,9.04,1:52.66,5,9.14,1:53.12,4,9.11,1:52.99,6,9.06,,7,10.10,2:08.94,3,9.05,1:52.81
1,8.87,2:01.45,2,8.91,2:01.57,5,9.18,2:02.30,4,9.07,2:02.06,6,9.24,,7,14.72,2:23.66,3,8.89,2:01.70
1,8.90,2:10.35,2,8.89,2:10.46,5,9.55,2:11.85,4,9.39,2:11.45,6,9.74,,7,13.48,2:37.14,3,8.85,2:10.55
1,8.99,2:19.34,3,9.11,2:19.57,5,9.87,2:21.726,4,9.73,2:21.18,6,10.76,,7,11.62,2:48.76,2,8.91,2:19.46
