SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Cheyenne GOH POSITION,Cheyenne GOH LAP TIME,Cheyenne GOH ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
4,11.01,11.01,3,10.90,10.90,5,11.10,11.10,6,11.14,11.14,2,10.87,,1,10.75,10.75
5,14.50,25.51,2,14.42,25.32,3,14.26,25.36,6,14.46,25.60,4,14.59,,1,14.50,25.25
1,12.09,37.60,6,12.77,38.09,2,12.34,37.70,4,12.37,37.97,4,12.51,,3,12.58,37.83
2,10.88,48.48,6,10.94,49.03,3,10.96,48.66,1,10.44,48.41,5,10.92,,4,10.94,48.77
2,10.98,59.46,5,10.82,59.85,6,11.31,59.97,1,10.98,59.39,4,10.86,,3,10.86,59.63
2,10.85,1:10.31,5,10.83,1:10.68,6,10.83,1:10.80,1,10.84,1:10.23,4,10.83,,3,10.83,1:10.46
2,10.81,1:21.12,5,10.83,1:21.51,6,10.82,1:21.62,1,10.82,1:21.05,4,10.81,,3,10.81,1:21.27
1,9.94,1:31.06,5,9.90,1:31.41,6,10.00,1:31.62,2,10.10,1:31.15,3,9.85,,4,10.00,1:31.27
1,9.37,1:40.43,5,9.50,1:40.91,6,9.85,1:41.47,4,9.55,1:40.70,3,9.41,,2,9.28,1:40.55
1,9.18,1:49.61,4,9.52,1:50.43,5,10.47,1:51.94,3,9.51,1:50.21,6,26.87,,2,9.28,1:49.83
1,9.24,1:58.85,4,9.53,1:59.96,5,10.70,2:02.64,3,9.23,1:59.44,6,18.16,,2,9.32,1:59.15
1,9.38,2:08.23,4,9.78,2:09.74,5,11.21,2:13.85,3,9.33,2:08.77,6,15.37,,2,9.54,2:08.69
1,9.54,2:17.77,4,10.08,2:19.82,5,11.51,2:25.36,3,9.91,2:18.68,6,13.50,,2,9.92,2:18.61
1,9.96,2:27.73,4,10.19,2:30.012,5,11.61,2:36.971,0,10.31,2:28.99,6,12.74,,0,10.39,2:29.00
