KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,LIN Yu-Cheng POSITION,LIN Yu-Cheng LAP TIME,LIN Yu-Cheng ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME
2,12.69,12.69,3,12.79,12.79,4,12.94,12.94,1,12.51,12.51
2,9.62,22.31,3,9.65,22.44,4,9.72,22.66,1,9.67,22.18
3,9.64,31.95,2,9.36,31.80,4,9.49,32.15,1,9.45,31.63
3,9.26,41.21,2,9.30,41.10,4,9.51,41.66,1,9.36,40.99
3,9.25,50.46,2,9.24,50.34,4,9.87,51.53,1,9.35,50.34
2,9.26,59.72,1,9.29,59.63,4,10.26,1:01.79,3,9.47,59.81
2,9.36,1:09.08,1,9.35,1:08.98,4,10.62,1:12.41,3,9.35,1:09.16
2,9.48,1:18.56,1,9.54,1:18.52,4,10.97,1:23.38,3,9.51,1:18.67
1,9.28,1:27.834,2,9.60,1:28.113,4,11.17,1:34.545,3,9.65,1:28.313
