Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME
1,13.59,13.59,2,13.70,13.70,3,13.80,13.80,5,14.08,14.08,4,13.90,13.90
2,10.82,24.41,1,10.69,24.39,3,10.67,24.47,5,10.66,24.74,4,10.72,24.62
3,10.12,34.53,1,9.99,34.38,2,9.97,34.44,5,9.99,34.73,4,10.01,34.63
2,9.79,44.32,1,9.85,44.23,3,9.96,44.40,5,10.00,44.73,4,9.88,44.51
2,9.66,53.98,1,9.69,53.92,3,9.70,54.10,5,9.80,54.53,4,9.71,54.22
1,9.22,1:03.20,2,9.51,1:03.43,3,9.48,1:03.58,5,9.70,1:04.23,4,9.53,1:03.75
1,9.36,1:12.56,2,9.25,1:12.68,3,9.42,1:13.00,5,10.04,1:14.27,4,9.51,1:13.26
1,9.39,1:21.95,2,9.38,1:22.06,3,9.58,1:22.58,5,10.52,1:24.79,4,9.66,1:22.92
1,9.65,1:31.60,2,9.65,1:31.71,3,9.82,1:32.40,5,11.19,1:35.981,4,10.08,1:33.008
